id,slot,name,brand,retailer,url,price,band,family1,family2,family3,family4,sizes,petite,tall,plus,colors,attr1,attr2,pattern,note,checked,active,width
p001,bo1,The Perfect Vintage Jean,Madewell,Madewell,https://www.madewell.com/p/womens/clothing/jeans/slim-+-skinny-jeans/the-perfect-vintage-jean/NW282/?ccode=DM9401,128,$$,Classic,Natural,Minimal,Professional,23-33 + curvy,yes,yes,yes,medium indigo,,,,"A true vintage straight — structured enough to hold its line, soft enough to sit down in all day. The curvy fit is the one to take if you're waist-small and hip-full.",2026-08-13,yes,
p002,bo1,Marilyn Straight Jean,NYDJ,NYDJ,https://nydj.com/products/marilyn-straight-jeans-quinn,99,$$,Classic,Professional,Romantic,Minimal,00-28,yes,yes,yes,deep indigo,,,,"The Lift Tuck panel is real, not marketing — this is the pair I send petite clients and anyone who wants polish without stiffness.",2026-08-13,yes,
p003,bo1,Always Fits Good Legs Straight,Good American,Good American,https://www.goodamerican.com/products/always-fits-good-legs-straight-indigo316,159,$$$,Glam,Bold,Sporty,Edgy,00-24 adaptive,yes,yes,yes,medium blue,,,,One jean genuinely spans four sizes. Sculpts like shapewear without feeling like it.,2026-08-13,yes,
p004,bo1,High-Waisted Wow Straight Jean,Old Navy,Old Navy,https://oldnavy.gap.com/browse/product.do?pid=514553002&vid=3&pcid=3056201&cid=3056360#pdp-page-content,49,$,Natural,Sporty,Classic,Bold,0-30,yes,yes,yes,medium blue,,,,"My proof that great denim doesn't need three digits — honest stretch, huge size run, and the high waist holds all day.",2026-08-13,yes,
p005,bo1,501 Original Fit Jean,Levi's,Amazon,https://www.amazon.com/Levis-501-Original-Jeans-Women/dp/B077T29T24,72,$$,Bold,Edgy,Natural,Sporty,24-34 + plus,no,no,yes,medium wash,,,,The original for a reason. reads effortlessly cool with everything from blazers to tanks.,2026-08-13,yes,
p006,bo1,High Rise Vintage Slim Jean,Gap,Gap,https://www.gap.com/browse/product.do?pid=660492002,89,$$,Classic,Minimal,Natural,Professional,24-35,yes,yes,no,medium indigo,,,,"The quiet one — slim through the leg without being skinny, and the high rise is genuinely comfortable seated. A workhorse.",2026-08-13,yes,
p007,bo1,High Rise Wide Leg Hustler,Mother,Bloomingdales,https://www.bloomingdales.com/shop/product/mother-the-hustler-roller-sneak-jeans-in-homecoming?ID=5576534,278,$$$,Glam,Bold,Edgy,Romantic,23-34,no,no,no,dark indigo,,,,"The splurge of the group — a true 70s wide leg with a clean hem, so it reads polished rather than costume. It changes your proportions more than anything else here. Wear it with a heel you don't have to show.",2026-08-14,yes,
p008,bo1,We The Free Libre Wide-Leg Jean,Free People,Free People,https://www.freepeople.com/shop/we-the-free-libre-wide-leg-jeans/,98,$$,Romantic,Natural,Glam,Minimal,24-33,yes,no,no,medium blue,,,,"Soft and high and easy in a way most wide legs aren't — this is the pair for someone who wants the silhouette without the stiffness. The Short fit is a real petite inseam, not a token.",2026-08-14,yes,
p009,to5,Washable Stretch Silk Notch Collar Blouse,Quince,Quince,https://www.quince.com/women/silk/silk-notch-collar-blouse,85,$$,Minimal,Professional,Classic,,"XS-XL, 1X-3X",no,no,yes,"ivory, navy, black",,,,Machine-washable silk that doesn't look like a compromise — this is the one I recommend when someone tells me she loves silk but won't dry-clean. The notch collar sits well open or buttoned.,2026-08-14,yes,
p010,to5,Modern Classic Shirt,Talbots,Talbots,https://www.talbots.com/modern-classic-shirt/P263075445.html,95,$$,Classic,Professional,Natural,,XS-XL,yes,no,yes,clematis blue,,,,"A proper cotton shirt that comes in misses, petite, plus and plus petite — almost nobody does that last one well. Crisp enough under a blazer, relaxed enough to wear untucked.",2026-08-14,yes,
