p075,to1,Everyday V-Neck Pima Cotton Blend T-Shirt,Nordstrom,Nordstrom,https://www.nordstrom.com/s/everyday-v-neck-pima-cotton-blend-t-shirt/7477837,35,$,Classic,Minimal,Natural,Sporty,XXS-XXL,no,no,no,"white, black, green chaparral",,,,"Pima cotton is the difference between a white tee that survives a season and one that survives three. This is a foundation, not a feature.",2026-08-15,yes,
p076,to5,100% European Linen Short Sleeve Shirt,Quince,Quince,https://www.quince.com/women/linen-short-sleeve-shirt?color=white,36,$,Natural,Classic,Minimal,Professional,"XS-XL, 1X-3X",no,no,yes,"white, flax, deep navy, french blue + 9 others",,,,"Thirteen colours, runs to 3X, and costs thirty-six dollars. European linen breathes properly in real heat rather than just looking as though it might.",2026-08-15,yes,
p078,to1,Organic Textured Cotton Peasant Blouse,Quince,Quince,https://www.quince.com/women/organic-cotton-peasant-blouse?color=white,50,$,Romantic,Natural,Classic,,XS-XL,no,no,no,"white, navy, true black, pale custard, taupe brown, caper, cafe au lait",ruffles,,,"Textured cotton with a ruffled collar and cuff, so it is decidedly romantic rather than a neutral basic. Tagged for ruffles — if you have ruled those out, this is not your blouse.",2026-08-15,yes,
p079,to1,We The Free Perfect Oversized Long Sleeve Top,Free People,Free People,https://www.freepeople.com/shop/we-the-free-perfect-oversized-long-sleeve-top/,54,$$,Natural,Edgy,Minimal,Sporty,XS-XL,no,no,no,"white, black, forest biome, dusted cocoa + 4 others",oversized,,,"Dropped shoulders and soft cotton, cut to slouch on purpose. This is for the woman who finds a fitted tee makes her feel as though she is being inspected.",2026-08-15,yes,
p080,to1,Pollie Short-Sleeve Swing Blouse,By Anthropologie,Anthropologie,https://www.anthropologie.com/shop/pollie-short-sleeve-swing-blouse,88,$$,Natural,Classic,Romantic,,XXS-XL + petite,yes,no,no,white,,,,Box pleats give crisp poplin controlled volume rather than shapelessness. Best with something narrow underneath so the proportion reads deliberate.,2026-08-15,yes,
p081,to1,Pintuck Blouse,NYDJ,Nordstrom,https://www.nordstrom.com/s/pintuck-blouse/3833447,89,$$,Classic,Professional,Romantic,,XXS (00) - XXL (20-22),no,no,no,"optic white, etched flowers peacoat",,,,"Pintucking draws the eye vertically, which is quietly useful. Optic white rather than cream, so it sits properly against navy and dark denim.",2026-08-15,yes,
p082,to5,Moore Liquid Jersey Blouse,Universal Standard,Universal Standard,https://www.universalstandard.com/products/moore-liquid-jersey-blouse-white,94,$$,Professional,Classic,Minimal,Natural,00-40,no,no,yes,white,,,,"Jersey that reads as a woven blouse, and the drape is what does it. Sizes 00 through 40 — the widest run anywhere in this slot.",2026-08-15,yes,
p083,to1,Sweet Nothings Blouse,Free People,Free People,https://www.freepeople.com/shop/sweet-nothings-blouse/,98,$$,Romantic,Natural,Bold,,XS-XL,no,no,no,ivory,puff-sleeve,ruffles,,"Scoop neck, ruffled trim, unapologetically pretty. Tagged for both puff sleeves and ruffles, so it stays correctly hidden from anyone who has ruled those out.",2026-08-15,yes,
p084,to1,Pilcro Sleeveless Structured Blouse,Pilcro,Anthropologie,https://www.anthropologie.com/shop/pilcro-sleeveless-structured-blouse2,98,$$,Classic,Professional,Minimal,Edgy,XXS-XL + petite (XS sold out),yes,no,no,"bright white, elm, french vanilla",,,,"Structured enough to replace a button-down in August, and sleeveless means no bulk under a jacket. It comes in petite, which sleeveless tops rarely do.",2026-08-15,yes,
p085,to1,By Anthropologie Short-Sleeve Lace-Trim Swing Blouse,By Anthropologie,Anthropologie,https://www.anthropologie.com/shop/by-anthropologie-short-sleeve-lace-trim-swing-blouse,128,$$,Romantic,Natural,Classic,,XXS-XL,no,no,no,white,,,,"The swing shape moves when you do, and the lace trim stops it reading as a plain cotton top. Easy with jeans because it asks for no styling at all.",2026-08-15,yes,
